position_id,work_title,category,subcategory,position_statement,key_concepts
"13","To consider Dostoevsky as a sinner or a criminal rouses violent","civilization_culture","morality","‘He was not halted by the barriers of bourgeois morality; and no one can say exactly how far he transgressed the bounds of law in his own life or how much of the criminal instincts of his heroes was r","morality"
"14","Dostoevsky And Parricide","psychoanalytic_theory","ego","after  all  only  a  sign  that  the  ego  has  not  succeeded  in  making  asynthesis, that in attempting to do so it has forfeited its unity.","ego"
"15","Dostoevsky And Parricide","psychoanalytic_theory","id","majority of cases, at least one case is known to us (that of Helmholtz)in  which  the  affliction  did  not  interfere  with  the  highest  intellectual","id"
"16","Dostoevsky And Parricide","general_theory","","between  an  organic  and  an  ‘affective’  epilepsy.  The  practicalsignificance of this is that a person who suffers from the first kind has",""
"17","Dostoevsky And Parricide","psychoanalytic_theory","id","childhood ‘something terrible, unforgettable and agonizing’ happened, to which the first signs of his illness were to be traced (from an article by Suvorin in the newspaper Novoe Vremya, 1881, quoted ","id"
"18","Dostoevsky And Parricide","general_theory","","other person is usually his father and that the attack (which is termedhysterical) is thus a self-punishment for a death-wish against a hated",""
"19","But what has been said so far does not exhaust the consequences","psychoanalytic_theory","repression, oedipus complex","of the repression of the hatred of the father in the Oedipus complex.There  is  something  fresh  to  be  added:  namely  that  in  spite  of","repression;oedipus complex"
"20","The  normal  processes  in  the  formation  of  conscience  must  be","psychoanalytic_theory","ego","further: ‘Now your father is killing you.’ For the ego the death symptomis a satisfaction in phantasy of the masculine wish and at the same","ego"
"21","We can safely say that Dostoevsky never got free from the feelings of","psychoanalytic_theory","id, guilt","be  playing  a  Christ-like  role.  If  on  the  whole  he  did  not  achievefreedom and became a reactionary, that was because the filial guilt,","id;guilt"
"22","We can safely say that Dostoevsky never got free from the feelings of","psychoanalytic_theory","id, guilt","his friend Strakhov that his irritability and depression after an epileptic attack were due to the fact that he seemed to himself a criminal and could not get rid of the feeling that he had a burden  ","id;guilt"
"23","Dostoevsky And Parricide","psychoanalytic_theory","id","‘knife that cuts both ways’: a splendid piece of disguise, for we haveonly  to  reverse  it  in  order  to  discover  the  deepest  meaning  of","id"
"24","Dostoevsky And Parricide","psychoanalytic_theory","id","have the same origin.) The ‘vice’ of masturbation is replaced by theaddiction  to  gambling;  and  the  emphasis  laid  upon  the  passionate","id"
"25","I was recalled from such narrow considerations by the astonishing","psychoanalytic_theory","id","profound differences between the two great men are not lacking. InLeonardo’s nature the scientist did not harmonize with the artist, he","id"
"26","The Goethe Prize","general_theory","","threads in the ‘weaver’s masterpiece’ spread between the instinctualendowments, the experiences and the works of an artist. Since it is",""
"27","It is doubtful whether we are as yet in a position to discover types to","psychoanalytic_theory","id","set of other psychological types. But it must be required of all suchtypes  that  they  shall  not  coincide  with  clinical  pictures.  On  the","id"
"28","The second type is what I have termed the obsessional type - a","psychoanalytic_theory","ego, super-ego","described in negative terms. There is no tension between ego andsuper-ego (indeed, on the strength of this type one would scarcely","ego;super-ego"
"29","In the erotic-obsessional type it appears that the preponderance of","psychoanalytic_theory","ego, super-ego, conscience","external world and a regard for the demands of conscience a capacityfor vigorous action, and it strengthens the ego against the super-ego.","ego;super-ego;conscience"
"30","Quite  different  are  the  effects  of  the  castration  complex  in  the","psychoanalytic_theory","id","analysts, will disagree with what I have said here. They will hardly fail to object that such notions  spring  from  the  ‘masculinity  complex’  of  the  male  and  are  designed  to  justify  on the","id"
"31","Quite  different  are  the  effects  of  the  castration  complex  in  the","psychoanalytic_theory","id","The opponents of those who argue in this way will on their sidethink it quite natural that the female sex should refuse to accept a view which appears to contradict  their  eagerly  coveted  equality ","id"
"32","Among  these  factors  are  some  which  are  determined  by  the","general_theory","","circumstances  of  infantile  sexuality  in  general,  and  so  hold  goodequally for the erotic life of boys. First and foremost we may mention",""
"33","Female Sexuality","general_theory","","whereas the primitive mother devotes herself exclusively to her childfor two or three years",""
"34","We cannot go so far as to assert that the ambivalence of emotional","psychoanalytic_theory","id","result  of  later  developments.  In  the  first  phases  of  erotic  life,ambivalence is evidently the rule. Many people retain this archaic trait","id"
"35","Female Sexuality","general_theory","","We seldom hear of a little girl’s wanting to wash or dress her mother,or tell her to perform her excretory functions. Sometimes, it is true, she",""
"36","If we now survey the stage of sexual development in the female","psychoanalytic_theory","id","conclusion  about  female  sexuality  as  a  whole.  We  have  found  thesame libidinal forces at work in it as in the male child and we have","id"
"37","An examination of the analytic literature on the subject shows that","psychoanalytic_theory","ego, super-ego, guilt","description is obscured because they deal at the same time with theproblems of the super-ego and the sense of guilt","ego;super-ego;guilt"
"38","New Introductory Lectures On Psycho-Analysis","therapeutic_technique","interpretation","information  about  the  nature  of  dreams  and  who  declare  that  theyhave read my Interpretation of Dreams, though in every sentence they","interpretation"
"39","New Introductory Lectures On Psycho-Analysis","general_theory","","apparently far remote dream-world to the real life of the patient. Or,again, we may tell him to start with those elements of the dream’s",""
"40","Here we are presented with a means of answering the question of","therapeutic_technique","interpretation","This was what I wanted to say to you, Ladies and Gentlemen, aboutdream-interpretation,  whose  task  it  is  to  lead  the  way  from  the","interpretation"
"41","In what follows I shall not be able to avoid a schematic method of","general_theory","","single thought that he refuses to accept; it is strange to him or evenperhaps repellent; he may possibly reject it with passionate feeling. It",""
"42","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","generally.  It  tallies  with  this,  accordingly,  if  a  woman  who  has  notovercome her wish to be a man has frequent dreams of bridges that","id"
"43","The  methods  of  representation  employed  by  the  dream-work  -","therapeutic_technique","interpretation","This is easy to understand whenwe  discover,  from  accessory  details  in  the  interpretation,  that  this","interpretation"
"44","I cannot detain you any longer over such minor discoveries or over","psychopathology","anxiety","layman that there are nevertheless so many anxiety-dreams was, Ithink I may say, completely disposed of in my earlier lectures. With the","anxiety"
"45","We meet with the second of these facts almost every day in the","psychoanalytic_theory","id","objection as the other does. One of the tasks of psycho-analysis, asyou know, is to lift the veil of amnesia which hides the earliest years of","id"
"46","A whole number of occultist assertions have the same sort of effect","psychoanalytic_theory","id","the remains of shells are imbedded, could have once formed the bedof the sea. Incidentally, much the same thing happened to our psycho-","id"
"47","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","as the offspring of unbridled imagination or of tendentious fraud, asthe product of an age in which man’s ignorance was very great and","id"
"48","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, manifest content","manifest content of his dream would have justified it, for why did thedream, in complete contradiction to his wishes, make his wife give","id;manifest content"
"49","Here was a man who was dissatisfied with his second wife and who","therapeutic_technique","interpretation","interpretation  has  told  us  nothing  about  the  objective  reality  of  thetelepathic event","interpretation"
"50","You see then that even the interpretation of this dream has told us","psychoanalytic_theory","id","happened.  It  may  be  noted,  incidentally,  that  strangely  enoughprecisely  this  phenomenon  is  referred  to  least  frequently  in  the","id"
"51","New Introductory Lectures On Psycho-Analysis","general_theory","","therefore justified in analysing these prophecies as though they weresubjective products, phantasies or dreams of the people concerned.",""
"52","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","him would commit suicide in the next few days, had once again onlybrought  to  light  a  powerful  secret  wish  of  the  person  who  was","id"
"53","Psycho-analysis cannot give a direct answer to the question that no","therapeutic_technique","transference","the help of analysis. But I will tell you in advance that this example tooof apparent thought-transference in the analytic situation is not exempt","transference"
"54","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","It is possible, therefore, that I had said to Herr P.: ‘Ivisited  a  friend  in  your  house’  and  with  this  possibility  the  occult","id"
"55","Nevertheless such a discussion may have taken place and I may have","general_theory","","It may be that Itoo have a secret inclination towards the miraculous which thus goes",""
"56","You will not forget that here I am only treating these problems in so","psychoanalytic_theory","id","accustoms  oneself  to  the  idea  of  telepathy,  one  can  accomplish  agreat deal with it - for the time being, it is true, only in imagination","id"
"57","Hardly have we familiarized ourselves with the idea of a super-ego","psychoanalytic_theory","ego, super-ego, guilt","moral sense of guilt is the expression of the tension between the egoand the super-ego","ego;super-ego;guilt"
"58","No  doubt  you  will  expect  me  to  give  you  more  than  a  mere","general_theory","","threatening punishments which are signs to the child of loss of loveand are bound to be feared on their own account",""
"59","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, ego, super-ego","super-ego can be described as a successful instance of identificationwith the parental agency","id;ego;super-ego"
"60","I hope you have already formed an impression that the hypothesis of","civilization_culture","conscience","personification of some such abstraction as that of conscience. Onemore important function remains to be mentioned which we attribute to","conscience"
"61","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","ego, super-ego","authorities analogous to them follow the precepts of their own super-egos  in  educating  children.  Whatever  understanding  their  ego  may","ego;super-ego"
"62","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, ego, super-ego","that with the separation off of the super-ego we have said the lastword on the psychology of the ego","id;ego;super-ego"
"63","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","repression, ego, super-ego","which represents demands of a restrictive and rejecting character, wemay say that repression is the work of this super-ego and that it is","repression;ego;super-ego"
"64","When I gave you my lectures fifteen years ago I tried to spare you","psychoanalytic_theory","unconscious, ego, super-ego","I return now to our topic. In face of the doubt whether the ego andsuper-ego  are  themselves  unconscious  or  merely  produce","unconscious;ego;super-ego"
"65","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","unconscious","have acquired the right to introduce the concept of an unconsciousinto psychology. But then comes the new observation that we were","unconscious"
"66","You will not expect me to have much to tell you that is new about the","drive_theory","pleasure principle","only a striving to bring about the satisfaction of the instinctual needssubject to the observance of the pleasure principle","pleasure principle"
"67","Again and again I have had the impression that we have made too","dream_theory","condensation, displacement","of the mind, far more mobile and capable of discharge; otherwise thedisplacements  and  condensations  would  not  occur  which  are","condensation;displacement"
"68","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, ego","world is an addition derived from internal sources of excitation. Theego  controls  the  approaches  to  motility  under  the  id’s  orders;  but","id;ego"
"69","So far we have allowed ourselves to be impressed by the merits and","psychoanalytic_theory","id","instance, is by identifying itself with actual or abandoned objects. Theobject-cathexes spring from the instinctual demands of the id","id"
"70","We are warned by a proverb against serving two masters at the","psychoanalytic_theory","id","demands of the external world, but it strives too to be a loyal servantof the id, to remain on good terms with it, to recommend itself to it as","id"
"71","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","-  something  that  may  thus  be  likened  to  an  individually  acquiredhysterical attack","id"
"72","We then turned to neurotic anxiety and pointed out that we observe","psychoanalytic_theory","id","We then askedourselves  two  questions:  ‘What  are  people  afraid  of  in  neurotic","id"
"73","For we consider that what is responsible for the anxiety in hysteria","psychopathology","anxiety","into anxiety - and this is so whatever the nature of the affect may be,whether it is aggressiveness or love","anxiety"
"74","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, ego, super-ego","would  be  in  speaking  of  an  ‘anxiety  of  the  id’  or  in  attributing  acapacity for apprehensiveness to the super-ego. On the other hand,","id;ego;super-ego;anxiety"
"75","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","complex they cannot have a fear of being castrated. Its place is takenin  their  sex  by  a  fear  of  loss  of  love,  which  is  evidently  a  later","id"
"76","New Introductory Lectures On Psycho-Analysis","metapsychology","cathexis","excitation;  or,  in  place  of  the  experimental  cathexis  it  opposes  theexcitation with an anticathexis, and this combines with the energy of","cathexis"
"77","And we may now add as contributions to the construction of character","psychoanalytic_theory","id, ego","which we ought to get to know about between what is occurring at thetime in the ego and in the id in connection with the repressed impulse.","id;ego"
"78","New Introductory Lectures On Psycho-Analysis","psychopathology","anxiety","psychologically, but something brought about by it in the mind. Birth,for instance, our model for an anxiety state, can after all scarcely be","anxiety"
"79","New Introductory Lectures On Psycho-Analysis","psychopathology","anxiety","can see no objection to there being a twofold origin of anxiety - one asa  direct  consequence  of  the  traumatic  moment  and  the  other  as  a","anxiety"
"80","You see how many of the characteristics and vicissitudes of the","psychoanalytic_theory","repression, anxiety","of no delay, are imperative in a very different sense and have a quiteother relation to repression and to anxiety. But a little reflection tells us","repression;anxiety"
"81","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id, libido","erotic interest obtains admission into the later genital organization.   During our studies of the pregenital phases of the libido we have","id;libido"
"82","From the concurrent and opposing action of these two proceed the","drive_theory","eros, death instinct","them are mingled in the process of living, how the death instinct ismade  to  serve  the  purposes  of  Eros,  especially  by  being  turned","eros;death instinct"
"83","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","ego, super-ego","outwards  on  account  of  his  erotic  fixation  as  well  as  of  externaldifficulties; and for that reason the severity of the super-ego need not","ego;super-ego"
"84","We approach the investigation of the sexual development of women","psychoanalytic_theory","id","different to start with in boys and girls: it did not need psycho-analysisto  establish  that.  The  difference  in  the  structure  of  the  genitals  is","id"
"85","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","relate them to the differentiation of the sexes which is to appear later -though we should avoid doing so as far as possible - we may call","id"
"86","New Introductory Lectures On Psycho-Analysis","general_theory","","be thought indeed that this first love-relation of the child’s is doomedto dissolution for the very reason that it is the first, for these early",""
"87","Oedipus  complex  concealed  her  pre-Oedipus  attachment  to  her","development","oedipus complex","a haven of refuge. In the absence of fear of castration the chief motiveis lacking which leads boys to surmount the Oedipus complex. Girls","oedipus complex"
"88","It is not my intention to pursue the further behaviour of femininity","psychoanalytic_theory","id, libido","dominated  by  the  polarity  of  masculine-feminine;  thus  the  notionsuggests itself of considering the relation of the libido to this antithesis.","id;libido"
"89","New Introductory Lectures On Psycho-Analysis","general_theory","","acquisition of the characteristics with which she will later fulfil her rolein the sexual function and perform her invaluable social tasks",""
"90","But you may raise the question of why these people - both the ones","general_theory","","earlier judgement - the judgement, namely, that was formed upon theyoung  psycho-analysis  by  the  representatives  of  official  science.  I",""
"91","New Introductory Lectures On Psycho-Analysis","psychoanalytic_theory","id","collateral with our psycho-analysis and on a par with it and which isregularly  mentioned  alongside  of  it.  Actually,  Individual  Psychology","id"
"92","I need not say much about other schools which have branched off","psychoanalytic_theory","id","make up for the omission of the events from the analysis of childhoodby increasing his didactic influence and by directly indicating certain","id"
"93","It  turned  out  that  a  child  is  a  very  favourable  subject  for  analytic","psychoanalytic_theory","id","patients  have  retained  so  many  infantile  character  traits  that  theanalyst  (once  again  adapting  himself  to  his  subject)  cannot  avoid","id"
"94","Compared  with  the  other  psychotherapeutic  procedures  psycho-","psychoanalytic_theory","id","consuming; it would not be used on slight cases. In suitable cases it ispossible  by  its  means  to  get  rid  of  disturbances  and  bring  about","id"
"95","But I should be still more sorry if you were to think it is my intention to","psychopathology","neurosis","It is true that thetreatment of a fairly severe neurosis may easily extend over several","neurosis"
"96","Weltanschauung  of  this  kind  is  among  the  ideal  wishes  of  human","general_theory","","from this it is marked by negative characteristics, by its limitation towhat is at the moment knowable and by its sharp rejection of certain",""
"97","But  philosophy  has  no  direct  influence  on  the  great  mass  of","general_theory","","knowledge; it does the same thing that science attempts to do with itsmeans, and at that point enters into rivalry with it",""
"98","The convergence between these three aspects of religion is not","psychoanalytic_theory","id","being resembling a man, but magnified in every respect, in power,wisdom, and the strength of his passions - an idealized super-man.","id"
"99","I feel sure that while you have been listening to me you have been","psychoanalytic_theory","id","men did not simply rely on the power of their wishes. They expectedresults, rather, from the performance of an action which would induce","id"
"100","We  must  admit  to  some  extent  the  correctness  of  the  other","civilization_culture","religion","world, while religion is an illusion and it derives its strength from itsreadiness to fit in with our instinctual wishful impulses.","religion"
"101","I  am  almost  ashamed  to  comment  to  you  on  a  subject  of  such","psychoanalytic_theory","id","preservative  instinct,  their  aggressiveness,  their  need  to  be  loved,their drive towards obtaining pleasure and avoiding unpleasure. In an","id"
"102","In a footnote to my Civilization and its Discontents I mentioned -","psychoanalytic_theory","id","which are quite extinct. - The objection raised by Lorenz (1931) is based on the assumption that man’s subjugation of fire only began when he discovered that he could produce it at will by some sort o","id"
"103","And why should the legend treat a deed that was thus a benefit to","general_theory","","could not fail to arouse in men driven by their instincts. And this is inaccordance with what we know and expect",""
"104","A reversal into the opposite is unexpectedly found in another myth","psychoanalytic_theory","id","hydra  is  a  brand  of  fire  and  the  flickering  serpent’s  heads  are  theflames; and these, in proof of their libidinal nature, once more display,","id"
"105","The proposal of the League of Nations and its International Institute","general_theory","","nation, in a certain measure, of its liberty of action, its sovereignty thatis to say, and it is clear beyond all doubt that no other road can lead to",""
"106","Thus we see that the violent solution of conflicts of interest is not","general_theory","","inwards of aggressiveness. You will notice that it is by no means atrivial matter if this process is carried too far: it is positively unhealthy.",""
"107","Our mythological theory of instincts makes it easy for us to find a","drive_theory","eros","engage in war is an effect of the destructive instinct, the most obviousplan will be to bring Eros, its antagonist, into play against it. Anything","eros"
